Data,제목,장르,OTT,시청자수
_,레드 노티스,"액션,모험",2021 Netflix,25918
_,오늘부터 히어로,코미디,2021 Netflix,25311
_,아미 오브 더 데드,"액션,모험,스릴러",2021 Netflix,18888
_,위시 드래곤,"애니메이션, 모험, 코미디",2021 Netflix,16953
_,아미 오브 더 데드:도둑들,"스릴러,코미디",2021 Netflix,15081
_,모아나,"애니메이션,모험,판타지,뮤지컬",2021 Disney+,94078
_,겨울왕국2,"애니메이션,모험,판타지,뮤지컬",2021 Disney+,61450
_,겨울왕국1,"애니메이션,모험,판타지,뮤지컬",2021 Disney+,52951
_,루카,"애니메이션,모험,코미디",2021 Disney+,50271
_,어벤져스:엔드게임,"액션,SF",2021 Disney+,45465
_,오징어게임,"공포,스릴러,액션",2021 Netflix,57980
_,종이의 집,"스릴러,범죄",2021 Netflix,44382
_,뤼팽,"미스터리,범죄",2021 Netflix,42690
_,브리저튼,"로맨스,드라마",2021 Netflix,33973
_,뉴 암스테르담,의학,2021 Netflix,33561
_,해리포터와 마법사의 돌,"판타지,모험, 액션",2021 HBO,22757
_,잭스나이더의 저스티스 리그,"액션, 모험, SF",2021 HBO,20786
_,프렌즈: 더 리뉴니언,코미디,2021 HBO,16861
_,원더우먼 1984,"액션, 모험",2021 HBO,12913
_,테넷,"액션, SF",2021 HBO,11508
